Unique Names	NameCopy	MatchedViaf	Length	Manual Viaf	Notes
A R. Schönlank	A R. Schönlank		14		
A. C. W	A. C. W		7		
A. D	A. D		4		
A. F. del Marle	A. F. del Marle		15		
A. J. Korteweg	A. J. Korteweg		14	http://viaf.org/viaf/61657476	
A. L	A. L		4		
A. M. Frey	A. M. Frey		10		
Dr. med. A. Meier-Naef	A. Meier-Naef		13		No Viaf Results
Aage von Kohl	Aage von Kohl	10834774			
Knoblauch	Adolf Knoblauch			http://viaf.org/viaf/54895426	
Adolf Küthe	Adolf Küthe				viaf useless
Adolf Lantz	Adolf Lantz	57374153			
Gösta Adrian-Nilsson	Adrian-Nilsson, Gösta, 1884-1965	62345837			
Albert Dreyfus	Albert Dreyfus				
Albert Verwey	Albert Verwey				
Albert-Bloch	Albert-Bloch				
Ernst Oscar Albrecht	Albrecht, Emil Oskar 1895-1953	171332929			
Rodolfo Alcaro	Alcaro, Rodolfo, 1896-1982	61464851			
Alexander Mette	Alexander Mette				
Alexander Toufanoff	Alexander Toufanoff				nolink
Alexandre Mercereau	Alexandre Mercereau				
Alf Eggers	Alf Eggers				
Alf Frauchen	Alf Frauchen				
Alfred Hombert	Alfred Hombert				
Alfréd Kemény	Alfréd Kemény				
Alfred Kerr	Alfred Kerr				
Alfred Richard Meyer	Alfred Richard Meyer				
Rudolf Alker	Alker, Rudolf	308216916			
Adolf Allwohn	Allwohn, Adolf, 1893-	56922703			
Peter Altenberg	Altenberg, Peter, 1859-1919	14765396			
Wilhelm Altmann	Altmann, Wilhelm, 1862-1951	76412476			
Andre BRETON	André Breton			http://viaf.org/viaf/49222341/	http://viaf.org/viaf/49222341/
André Breton	André Breton			http://viaf.org/viaf/49222341/	http://viaf.org/viaf/49222341/
A. v. K	Andre Von Kun		7		No Viaf Results
André von Kún	André von Kún				No Viaf Results
Andreas Gáspár	Andreas Gáspár				
Anna Well	Anna Well				
Doktor Anselm Sabberer	Anselm Sabberer				
Anton Schnack	Anton Schnack				
Guillaume Apollinaire	Apollinaire, Guillaume, 1880-1918	66462795			
